IdRegistro,IdPermeabilidad,Peso1,Peso2,Permeabilidad
REG-0012534,1,50,130.0,160
REG-0012535,1,50,135.0,170
REG-0012536,1,50,128.0,156
REG-0012537,1,50,132.0,164
REG-0012538,1,50,138.0,176
REG-0012539,1,50,150.0,200
REG-0012540,1,50,150.0,200
REG-0012541,1,50,150.0,200
REG-0012542,1,50,,-100
REG-0012543,1,50,121.0,142
REG-0012544,1,50,126.0,152
REG-0012545,1,50,126.0,152
REG-0012546,1,50,,-100
REG-0012547,1,50,124.0,148
REG-0012548,1,50,120.0,140
REG-0012549,1,50,148.0,196
REG-0012550,1,50,130.0,160
REG-0012551,1,50,128.0,156
REG-0012552,1,50,140.0,180
REG-0012553,1,50,128.0,156
REG-0012554,1,50,130.0,160
REG-0012555,1,50,132.0,164
REG-0012556,1,50,128.0,156
REG-0012557,1,50,132.0,164
REG-0012558,1,50,128.0,156
REG-0012559,1,50,126.0,152
REG-0012560,1,50,130.0,160
REG-0012561,1,50,132.0,164
REG-0012562,1,50,128.0,156
REG-0012563,1,50,128.0,156
REG-0012564,1,50,128.0,156
REG-0012565,1,50,134.0,168
REG-0012566,1,50,136.0,172
REG-0012567,1,50,132.0,164
REG-0012568,1,50,134.0,168
REG-0012569,1,50,132.0,164
REG-0012570,1,50,128.0,156
REG-0012571,1,50,132.0,164
REG-0012572,1,50,145.0,190
REG-0012573,1,50,137.0,174
REG-0012574,1,50,149.0,198
REG-0012575,1,50,130.0,160
REG-0012576,1,50,144.0,188
REG-0012577,1,50,126.0,152
REG-0012578,1,50,126.0,152
REG-0012579,1,50,145.0,190
REG-0012580,1,50,126.0,152
REG-0012581,1,50,138.0,176
REG-0012582,1,50,136.0,172
REG-0012583,1,50,130.0,160
REG-0012584,1,50,128.0,156
REG-0012585,1,50,128.0,156
REG-0012586,1,50,136.0,172
REG-0012587,1,50,134.0,168
REG-0012588,1,50,134.0,148
REG-0012589,1,50,136.0,125
REG-0012590,1,50,138.0,124
REG-0012591,1,50,134.0,168
REG-0012592,1,50,133.0,166
REG-0012593,1,50,130.0,160
REG-0012594,1,50,142.0,184
REG-0012595,1,50,140.0,180
REG-0012596,1,50,140.0,180
REG-0012597,1,50,144.0,188
REG-0012598,1,50,132.0,164
REG-0012599,1,50,134.0,168
REG-0012600,1,50,125.0,150
REG-0012601,1,50,132.0,164
REG-0012602,1,50,126.0,152
REG-0012603,1,50,126.0,152
REG-0012604,1,50,123.0,146
REG-0012605,1,50,142.0,184
REG-0012606,1,50,136.0,172
REG-0012607,1,50,128.0,156
REG-0012608,1,50,146.0,192
REG-0012609,1,50,128.0,156
REG-0012610,1,50,135.0,170
REG-0012611,1,50,125.0,150
REG-0012612,1,50,130.0,160
REG-0012613,1,50,140.0,180
REG-0012614,1,50,129.0,158
REG-0012615,1,50,137.0,174
REG-0012616,1,50,138.0,176
REG-0012617,1,50,130.0,160
REG-0012618,1,50,135.0,170
REG-0012619,1,50,134.0,168
REG-0012620,1,50,130.0,160
REG-0012621,1,50,132.0,164
REG-0012622,1,50,147.0,194
REG-0012623,1,50,134.0,168
REG-0012624,1,50,152.0,204
REG-0012625,1,50,138.0,176
REG-0012626,1,50,134.0,168
REG-0012627,1,50,138.0,176
REG-0012628,1,50,132.0,164
REG-0012629,1,50,134.0,168
REG-0012630,1,50,138.0,176
REG-0012631,1,50,147.0,194
REG-0012632,1,50,138.0,176
REG-0012633,1,50,132.0,164
REG-0012634,1,50,132.0,164
REG-0012635,1,50,132.0,164
REG-0012636,1,50,140.0,180
REG-0012637,1,50,150.0,200
REG-0012638,1,50,145.0,190
REG-0012639,1,50,127.0,154
REG-0012640,1,50,127.0,154
REG-0012641,1,50,132.0,164
REG-0012642,1,50,135.0,170
REG-0012643,1,50,125.0,150
REG-0012644,1,50,134.0,168
REG-0012645,1,50,132.0,164
REG-0012646,1,50,140.0,180
REG-0012647,1,50,129.0,158
REG-0012648,1,50,130.0,160
REG-0012649,1,50,146.0,192
REG-0012650,1,50,125.0,150
REG-0012651,1,50,140.0,180
REG-0012652,1,50,145.0,190
REG-0012653,1,50,138.0,176
REG-0012654,1,50,130.0,160
REG-0012655,1,50,145.0,190
REG-0012656,1,50,140.0,180
REG-0012657,1,50,138.0,176
REG-0012658,1,50,126.0,152
REG-0012659,1,50,134.0,168
REG-0012660,1,50,138.0,176
REG-0012661,1,50,128.0,156
REG-0012662,1,50,134.0,168
REG-0012663,1,50,138.0,176
REG-0012664,1,50,138.0,176
REG-0012665,1,50,138.0,176
REG-0012666,1,50,136.0,172
REG-0012667,1,50,140.0,180
REG-0012668,1,50,136.0,172
REG-0012669,1,50,138.0,176
REG-0012670,1,50,128.0,156
REG-0012671,1,50,142.0,184
REG-0012672,1,50,140.0,180
REG-0012673,1,50,145.0,190
REG-0012674,1,50,134.0,168
REG-0012675,1,50,126.0,152
REG-0012676,1,50,130.0,160
REG-0012677,1,50,140.0,180
REG-0012678,1,50,131.0,162
REG-0012679,1,50,135.0,170
REG-0012680,1,50,140.0,180
REG-0012681,1,50,142.0,184
REG-0012682,1,50,132.0,164
REG-0012683,1,50,132.0,164
REG-0012684,1,50,150.0,200
REG-0012685,1,50,136.0,172
REG-0012686,1,50,146.0,192
REG-0012687,1,50,136.0,172
REG-0012688,1,50,150.0,200
REG-0012689,1,50,137.0,174
REG-0012690,1,50,148.0,196
REG-0012691,1,50,136.0,172
REG-0012692,1,50,131.0,162
REG-0012693,1,50,139.0,178
REG-0012694,1,50,140.0,180
REG-0012695,1,50,132.0,164
REG-0012696,1,50,140.0,180
REG-0012697,1,50,142.0,184
REG-0012698,1,50,135.0,170
REG-0012699,1,50,141.0,182
REG-0012700,1,50,139.0,178
REG-0012701,1,50,140.0,180
REG-0012702,1,50,132.0,164
REG-0012703,1,50,138.0,176
REG-0012704,1,50,134.0,168
REG-0012705,1,50,136.0,172
REG-0012706,1,50,138.0,176
REG-0012707,1,50,136.0,172
REG-0012708,1,50,135.0,170
REG-0012709,1,50,140.0,180
REG-0012710,1,50,138.0,176
REG-0012711,1,50,140.0,180
REG-0012712,1,50,138.0,176
REG-0012713,1,50,136.0,172
REG-0012714,1,50,140.0,180
REG-0012715,1,50,140.0,180
REG-0012716,1,50,142.0,184
REG-0012717,1,50,140.0,180
REG-0012718,1,50,140.0,180
REG-0012719,1,50,142.0,184
REG-0012720,1,50,136.0,172
REG-0012721,1,50,153.0,206
REG-0012722,1,50,140.0,180
REG-0012723,1,50,139.0,178
REG-0012724,1,50,140.0,180
REG-0012725,1,50,136.0,172
REG-0012726,1,50,135.0,170
REG-0012727,1,50,140.0,180
REG-0012728,1,50,150.0,200
REG-0012729,1,50,135.0,170
REG-0012730,1,50,147.0,194
REG-0012731,1,50,140.0,180
REG-0012732,1,50,145.0,190
REG-0012733,1,50,140.0,180
REG-0012734,1,50,136.0,172
REG-0012735,1,50,139.0,178
REG-0012736,1,50,142.0,184
REG-0012737,1,50,139.0,178
REG-0012738,1,50,142.0,184
REG-0012739,1,50,130.0,160
REG-0012740,1,50,134.0,168
REG-0012741,1,50,142.0,184
REG-0012742,1,50,143.0,186
REG-0012743,1,50,142.0,184
REG-0012744,1,50,138.0,176
REG-0012745,1,50,129.0,158
REG-0012746,1,50,138.0,176
REG-0012747,1,50,132.0,164
REG-0012748,1,50,133.0,166
REG-0012749,1,50,136.0,172
REG-0012750,1,50,138.0,176
REG-0012751,1,50,137.0,174
REG-0012752,1,50,140.0,180
REG-0012753,1,50,135.0,170
REG-0012754,1,50,130.0,160
REG-0012755,1,50,131.0,162
REG-0012756,1,50,132.0,164
REG-0012757,1,50,145.0,190
REG-0012758,1,50,140.0,180
REG-0012759,1,50,138.0,176
REG-0012760,1,50,138.0,176
REG-0012761,1,50,128.0,156
REG-0012762,1,50,128.0,156
REG-0012763,1,50,132.0,164
REG-0012764,1,50,128.0,156
REG-0012765,1,50,130.0,160
REG-0012766,1,50,128.0,156
REG-0012767,1,50,132.0,164
REG-0012768,1,50,134.0,168
REG-0012769,1,50,134.0,168
REG-0012770,1,50,138.0,176
REG-0012771,1,50,140.0,180
REG-0012772,1,50,134.0,168
REG-0012773,1,50,132.0,164
REG-0012774,1,50,138.0,176
REG-0012775,1,50,132.0,164
REG-0012776,1,50,130.0,160
REG-0012777,1,50,136.0,172
REG-0012778,1,50,132.0,164
REG-0012779,1,50,146.0,192
REG-0012780,1,50,142.0,184
REG-0012781,1,50,,-100
REG-0012782,1,50,140.0,180
REG-0012783,1,50,132.0,164
REG-0012784,1,50,145.0,190
REG-0012785,1,50,130.0,160
REG-0012786,1,50,130.0,160
REG-0012787,1,50,,-100
REG-0012788,1,50,136.0,172
REG-0012789,1,50,150.0,200
REG-0012790,1,50,145.0,190
REG-0012791,1,50,145.0,190
REG-0012792,1,50,145.0,190
REG-0012793,1,50,146.0,192
REG-0012794,1,50,146.0,192
REG-0012795,1,50,138.0,176
REG-0012796,1,50,140.0,180
REG-0012797,1,50,134.0,168
REG-0012798,1,50,142.0,184
REG-0012799,1,50,140.0,180
REG-0012800,1,50,130.0,160
REG-0012801,1,50,132.0,164
REG-0012802,1,50,136.0,172
REG-0012803,1,50,128.0,156
REG-0012804,1,50,135.0,170
REG-0012805,1,50,136.0,172
REG-0012806,1,50,130.0,160
REG-0012807,1,50,124.0,148
REG-0012808,1,50,130.0,160
REG-0012809,1,50,127.0,154
REG-0012810,1,50,130.0,160
REG-0012811,1,50,127.0,154
REG-0012812,1,50,131.0,162
REG-0012813,1,50,125.0,150
